coin,symbol,price,date,mkt_cap_to_volume_ratio,price_change_7d,price_change_24h,liquidity_ratio,moving_average_mkt_cap_7d,std_dev_price_7d
CoinEx Token,CET,0.061152343679,2022-03-16,262.75412768315346,-0.4466502250504466,0.44748152752535253,0.0038058393556651073,821867806.5714285,1.5942320288004774
CoinEx Token,CET,0.06114066275,2022-03-17,266.05859022340087,-0.9807733764937107,-0.00019101359485607095,0.0023136415222540043,662029482.7142857,1.5571480470970342
cETH,CETH,17.790167875,2022-03-16,266.05859022340087,15.425076452599388,0.44748152752535253,3.411269041569334e-07,919594530.0,19.98121545678734
cETH,CETH,17.790167875,2022-03-17,266.05859022340087,21.42857142857143,0.05231800409607157,1.403870762741036e-06,1245401330.7142856,26.614669907700904
Conflux,CFX,0.116231,2022-03-16,36.38773346565449,-0.9613850498338871,-0.3829034947136797,0.02748178863472978,1086435468.142857,26.874989402180297
Conflux,CFX,0.118894,2022-03-17,33.77598753261593,2.207377841226643,0.022911271519646226,0.029606832340115758,1083139656.5714285,26.86701129597019
Chromia,CHR,0.37938,2022-03-16,3.656442019142288,8.901126334077047,0.44748152752535253,0.20762941343720714,1082730430.5714285,26.833944659449045
Chromia,CHR,0.399507,2022-03-17,3.893123839493575,5.532979375199197,0.05305234856871732,0.20762941343720714,1082754080.0,26.801043390130936
SwissBorg,CHSB,0.428284,2022-03-16,266.05859022340087,6.004896262757636,0.07203127855081393,0.0026328732551094422,1107993541.142857,26.765214660246524
SwissBorg,CHSB,0.426636,2022-03-17,266.05859022340087,-0.9920566747346863,-0.003847914000989938,0.0017584418344417107,710418932.8571428,21.245269392619257
Chiliz,CHZ,0.198241,2022-03-16,9.5909692006209,-0.9964925513092711,-0.3829034947136797,0.10426474937853643,381055657.71428573,0.1446076857515005
Chiliz,CHZ,0.203275,2022-03-17,10.025259329950858,0.7488879902951882,0.025393334375835463,0.0997480431266711,510115619.14285713,0.12960645260424528
Nervos Network,CKB,0.010554840501,2022-03-16,51.35252025042585,-0.9112247842532003,-0.3829034947136797,0.019473240945593266,528839275.71428573,0.1590427512286078
Nervos Network,CKB,0.010823610593,2022-03-17,55.46059565159183,-0.9714702657151141,0.025464154761461133,0.0180308196883078,544963889.4285715,0.1843842851191756
Clover Finance,CLV,0.305749,2022-03-16,9.69306974225052,-0.23468424833607426,0.44748152752535253,0.10316649179167278,523928991.85714287,0.17394361534971714
Clover Finance,CLV,0.313737,2022-03-17,8.118652889780313,-0.2674557069608018,0.02612600531808762,0.12317314381783596,477923027.14285713,0.15625512784940931
